WEO Country Code,ISO,Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
512,AFG,Afghanistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.692,0.671,11.83,5.361,13.34,3.863,20.585,8.438,6.479,13.968,5.683,2.697,0.988,2.164,2.665,2.7,3,3.478,4,4.5,5,5.5,2018
914,ALB,Albania,-1.4,9.8,-10,-28,-7.2,9.6,9.4,8.9,9.1,-10.924,8.829,12.891,6.946,8.293,4.537,5.529,5.515,5.526,5.903,5.983,7.5,3.354,3.707,2.545,1.418,1.002,1.774,2.219,3.315,3.821,4.062,2.983,4.022,3.989,4.015,4.009,4.004,2018
612,DZA,Algeria,-1.9,4.8,0.8,-1.2,1.6,-2.102,-0.9,3.848,3.8,1.1,5.098,3.2,3.8,3,5.6,7.2,4.3,5.9,1.684,3.373,2.36,1.632,3.616,2.823,3.391,2.8,3.8,3.7,3.2,1.3,1.4,2.553,2.406,1.754,1.447,0.996,0.793,2018
614,AGO,Angola,6.129,0.042,-3.45,0.991,11.403,10.969,10.511,10.364,11.208,7.274,4.691,2.181,3.055,4.206,13.666,2.99,10.953,15.029,11.548,14.01,11.166,0.859,4.859,3.472,8.542,4.955,4.823,0.944,-2.58,-0.15,-1.2,-0.265,1.153,2.874,3.328,4.125,3.783,2018
311,ATG,Antigua and Barbuda,5.213,5.252,3.012,2.177,1.158,5.28,6.676,-4.359,6.605,5.471,4.731,3.708,6.692,-4.954,1.024,6.058,5.736,6.412,12.729,9.259,-0.03,-12.108,-7.574,-1.959,3.372,-0.601,3.797,3.824,5.498,3.145,7.389,4.031,3.322,2.509,2,2,2,2017
213,ARG,Argentina,-1.957,-7.007,-1.338,10.498,10.299,6.251,5.83,-2.845,5.527,8.111,3.85,-3.385,-0.789,-4.409,-10.894,8.955,8.911,8.852,8.047,9.008,4.057,-5.919,10.125,6.004,-1.026,2.405,-2.513,2.731,-2.08,2.669,-2.482,-3.061,-1.281,1.433,2.283,3.1,3.2,2018
911,ARM,Armenia,n/a,n/a,n/a,n/a,n/a,-14.054,5.4,8.033,5.169,3.387,6.271,3.17,5.853,9.468,14.807,14.052,10.473,14.113,13.198,13.749,6.948,-14.15,2.2,4.7,7.134,3.3,3.606,3.254,0.197,7.519,5.24,6,4.8,4.5,4.5,4.5,4.5,2018
314,ABW,Aruba,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.255,7.017,1.871,1.368,7.604,-2.97,-3.271,1.977,7.909,1.22,1.051,2.034,0.153,-11.334,-3.339,3.505,-1.368,4.165,0.904,-0.448,0.483,2.342,1.2,0.7,1,1.1,1.1,1.1,1.1,2017
193,AUS,Australia,4.253,4.626,1.502,-1.009,2.565,3.902,4.892,2.843,4.159,4.558,4.723,4.446,3.038,2.601,4.177,2.671,4.28,2.878,2.819,4.368,2.675,1.884,2.386,2.765,3.875,2.138,2.643,2.461,2.788,2.423,2.74,1.713,2.263,2.582,2.699,2.671,2.64,2018
122,AUT,Austria,0.961,3.887,4.346,3.442,2.094,0.527,2.402,2.668,2.398,2.094,3.581,3.556,3.376,1.267,1.652,0.941,2.735,2.244,3.454,3.727,1.46,-3.765,1.837,2.923,0.68,0.026,0.661,1.143,2.04,2.551,2.745,1.605,1.7,1.55,1.55,1.56,1.56,2018
912,AZE,Azerbaijan,n/a,n/a,n/a,n/a,n/a,-23.098,-19.673,-13.027,2.531,8.884,6.007,11.396,6.227,6.486,9.439,10.208,9.254,27.962,34.466,25.463,10.591,9.37,4.789,-1.573,2.203,5.843,2.798,1.05,-3.064,0.154,0.971,2.7,2.11,2.145,2.214,2.347,2.418,2018
313,BHS,The Bahamas,2.255,2.3,1.052,-4.182,-3.826,0.308,3.149,4.379,4.224,4.946,4.716,7.144,4.149,2.626,2.705,-1.265,0.883,3.395,2.517,1.446,-2.324,-4.175,1.539,0.613,3.087,-2.952,0.737,0.598,0.446,0.067,1.566,0.91,-0.557,2.101,1.732,1.599,1.586,2018
