WEO Country Code,ISO,Country,Units,Scale,Country/Series-specific Notes,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Estimates Start After
512,AFG,Afghanistan,Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.692,0.671,11.83,5.361,13.34,3.863,20.585,8.438,6.479,13.968,5.683,2.697,0.988,2.164,2.647,1.189,3.912,-5,4,4.524,4.5,4.009,4.012,2019
914,ALB,Albania,Percent change,,,-1.4,9.8,-10,-28,-7.2,9.6,9.4,8.9,9.1,-10.924,8.829,12.891,6.946,8.293,4.537,5.529,5.515,5.526,5.903,5.983,7.5,3.354,3.707,2.545,1.418,1.002,1.774,2.219,3.315,3.802,4.071,2.24,-7.529,6.094,5.818,4.311,3.458,3.429,2018
612,DZA,Algeria,Percent change,,,-1.9,4.8,0.8,-1.2,1.6,-2.102,-0.9,3.848,3.8,1.1,5.098,3.2,3.8,3,5.6,7.2,4.3,5.9,1.684,3.373,2.36,1.632,3.616,2.823,3.391,2.8,3.8,3.7,3.2,1.3,1.4,0.8,-5.461,3.163,2.557,1.149,1.029,0.949,2019
614,AGO,Angola,Percent change,,,6.129,0.042,-3.45,12.084,11.403,10.969,10.511,10.364,11.208,7.274,4.691,2.181,3.055,4.206,13.666,2.99,10.953,15.029,11.548,14.01,11.166,0.859,4.859,3.472,8.542,4.955,4.823,0.944,-2.58,-0.15,-1.2,-0.9,-4.011,3.229,2.984,3.93,3.771,2.892,2018
311,ATG,Antigua and Barbuda,Percent change,,,5.213,5.252,3.012,2.177,1.158,5.28,6.676,-4.359,6.605,5.471,4.731,3.708,6.692,-4.954,1.024,6.058,5.736,6.412,12.729,9.259,-0.03,-12.108,-7.574,-1.959,3.372,-0.601,3.797,3.824,5.498,3.144,6.95,3.351,-17.273,4.701,11.041,8.234,3.989,3.67,2019
213,ARG,Argentina,Percent change,,,-1.957,-7.007,-1.338,10.498,10.299,6.251,5.83,-2.845,5.527,8.111,3.85,-3.385,-0.789,-4.409,-10.894,8.955,8.911,8.852,8.047,9.008,4.057,-5.919,10.125,6.004,-1.026,2.405,-2.513,2.731,-2.08,2.819,-2.565,-2.088,-11.784,4.889,2.526,2.283,2.118,1.703,2019
911,ARM,Armenia,Percent change,,,n/a,n/a,n/a,n/a,n/a,-14.054,5.4,8.033,5.169,3.387,6.271,3.17,5.853,9.468,14.807,14.052,10.473,14.113,13.198,13.749,6.948,-14.15,2.2,4.7,7.134,3.412,3.607,3.254,0.195,7.518,5.225,7.582,-4.455,3.549,5.04,4.84,4.74,4.5,2019
314,ABW,Aruba,Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.255,7.017,1.871,1.368,7.604,-2.97,-3.271,1.977,7.909,1.22,1.051,2.034,0.153,-11.334,-3.339,3.505,-1.368,4.165,0.904,-0.448,0.483,2.342,1.2,0.4,-19.7,9,4.5,1.5,1.3,1.1,2017
193,AUS,Australia,Percent change,,,4.253,4.625,1.502,-1,2.56,3.9,4.899,2.839,4.152,4.578,4.702,4.459,3.027,2.612,4.136,2.784,4.117,3.028,2.707,4.428,2.667,1.88,2.36,2.842,3.8,2.127,2.582,2.306,2.77,2.446,2.767,1.841,-4.159,2.953,2.804,2.575,2.609,2.542,2019
122,AUT,Austria,Percent change,,,0.961,3.887,4.346,3.442,2.094,0.527,2.402,2.668,2.398,2.094,3.581,3.556,3.376,1.267,1.652,0.941,2.735,2.244,3.454,3.727,1.46,-3.765,1.837,2.923,0.68,0.026,0.661,1.015,2.083,2.476,2.42,1.601,-6.72,4.646,2.146,1.946,1.746,1.646,2019
